// Test CSV data for Rabi oscillation measurements
// Format: time,measurement_id,outcome,count

time,measurement_id,outcome,count
0.0,z_basis,0,485
0.0,z_basis,1,15
0.5,z_basis,0,352
0.5,z_basis,1,148
1.0,z_basis,0,198
1.0,z_basis,1,302
1.5,z_basis,0,105
1.5,z_basis,1,395
2.0,z_basis,0,89
2.0,z_basis,1,411
2.5,z_basis,0,142
2.5,z_basis,1,358
3.0,z_basis,0,243
3.0,z_basis,1,257
3.5,z_basis,0,358
3.5,z_basis,1,142
4.0,z_basis,0,422
4.0,z_basis,1,78
4.5,z_basis,0,445
4.5,z_basis,1,55
5.0,z_basis,0,412
5.0,z_basis,1,88
